Class,Standard Accuracy,Thresholded Accuracy,Precision,Recall,F1 Score,Optimal Threshold,Mean Probability
ArtocarpusHeterophyllus,0.9532803180914513,0.9532803180914513,0.85546875,0.6320346320346321,0.7269709543568464,0.5700000000000001,0.61048913
BroussonetiaPapyrifera,0.9456120420335132,0.9656347628514627,0.7799511002444988,0.9114285714285715,0.8405797101449275,0.65,0.8484314
CeibaPentandra,0.9466060778188015,0.9534223232036353,0.7296296296296296,0.8442857142857143,0.7827814569536424,0.41000000000000003,0.76452184
CocosNucifera,0.9862255041181482,0.9860834990059643,0.9659442724458205,0.8914285714285715,0.9271916790490342,0.49,0.78172886
DurioZibethinus,0.9423459244532804,0.9544163589889236,0.8451730418943534,0.6628571428571428,0.7429943955164131,0.6900000000000001,0.67840487
ElaeisGuineensis,0.9730190286850326,0.9774211871627378,0.9081779053084649,0.8695054945054945,0.888421052631579,0.59,0.8150371
EuphorbiaPulcherrima,0.9403578528827038,0.937375745526839,0.9554794520547946,0.39462517680339465,0.5585585585585585,0.63,0.45437247
ManihotEsculenta,0.9760011360408974,0.9717409826753763,0.9980392156862745,0.7199434229137199,0.8364831552999178,0.87,0.81968427
SamaneaSaman,0.9561204203351321,0.9564044305595002,0.9119496855345912,0.6214285714285714,0.7391673746813934,0.35000000000000003,0.53575647
TheobromaCacao,0.9583925021300767,0.9612326043737575,0.858085808580858,0.7355021216407355,0.7920792079207921,0.55,0.69391584
