Class,Standard Accuracy,Thresholded Accuracy,Precision,Recall,F1 Score,Optimal Threshold,Mean Probability
ArtocarpusHeterophyllus,0.9532803180914513,0.9549843794376598,0.8357142857142857,0.6753246753246753,0.7470071827613727,0.45,0.61048913
BroussonetiaPapyrifera,0.9456120420335132,0.952570292530531,0.6922268907563025,0.9414285714285714,0.7978208232445521,0.43,0.8484314
CeibaPentandra,0.9466060778188015,0.9439079806873047,0.6617179215270413,0.8914285714285715,0.7595861229458308,0.25,0.76452184
CocosNucifera,0.9862255041181482,0.9863675092303323,0.9415204678362573,0.92,0.930635838150289,0.31,0.78172886
DurioZibethinus,0.9423459244532804,0.9524282874183471,0.8067226890756303,0.6857142857142857,0.7413127413127413,0.59,0.67840487
ElaeisGuineensis,0.9730190286850326,0.9771371769383698,0.895397489539749,0.8818681318681318,0.8885813148788927,0.55,0.8150371
EuphorbiaPulcherrima,0.9403578528827038,0.937375745526839,0.9554794520547946,0.39462517680339465,0.5585585585585585,0.63,0.45437247
ManihotEsculenta,0.9760011360408974,0.9717409826753763,0.9980392156862745,0.7199434229137199,0.8364831552999178,0.87,0.81968427
SamaneaSaman,0.9561204203351321,0.9592445328031809,0.9072978303747534,0.6571428571428571,0.7622203811101905,0.25,0.53575647
TheobromaCacao,0.9583925021300767,0.9613746094859414,0.8330781010719756,0.7694483734087695,0.8,0.47000000000000003,0.69391584
