Class,Standard Accuracy,Thresholded Accuracy,Precision,Recall,F1 Score,Optimal Threshold,Mean Probability
ArtocarpusHeterophyllus,0.9532803180914513,0.9023004828173814,1.0,0.007215007215007215,0.014326647564469915,0.9500000000000001,0.61048913
BroussonetiaPapyrifera,0.9456120420335132,0.9005964214711729,0.0,0.0,0.0,0.97,0.8484314
CeibaPentandra,0.9466060778188015,0.9446180062482249,1.0,0.44285714285714284,0.6138613861386139,0.91,0.76452184
CocosNucifera,0.9862255041181482,0.900880431695541,1.0,0.002857142857142857,0.005698005698005698,0.9500000000000001,0.78172886
DurioZibethinus,0.9423459244532804,0.9112468048849759,1.0,0.10714285714285714,0.1935483870967742,0.9500000000000001,0.67840487
ElaeisGuineensis,0.9730190286850326,0.9004544163589889,1.0,0.03708791208791209,0.07152317880794702,0.9500000000000001,0.8150371
EuphorbiaPulcherrima,0.9403578528827038,0.9264413518886679,0.9947643979057592,0.26874115983026875,0.42316258351893093,0.87,0.45437247
ManihotEsculenta,0.9760011360408974,0.9048565748366941,1.0,0.05233380480905234,0.09946236559139784,0.9500000000000001,0.81968427
SamaneaSaman,0.9561204203351321,0.908122692416927,0.9344262295081968,0.08142857142857143,0.1498028909329829,0.93,0.53575647
TheobromaCacao,0.9583925021300767,0.9014484521442772,0.7241379310344828,0.0297029702970297,0.057065217391304345,0.9500000000000001,0.69391584
