Class,Standard Accuracy,Thresholded Accuracy,Precision,Recall,F1 Score,Optimal Threshold,Mean Probability
ArtocarpusHeterophyllus,0.9532803180914513,0.5852030673104232,0.18986636971046772,0.9841269841269841,0.31831971995332553,0.01,0.61048913
BroussonetiaPapyrifera,0.9456120420335132,0.4792672536211304,0.16029310739638195,1.0,0.2762976119992106,0.01,0.8484314
CeibaPentandra,0.9466060778188015,0.5729906276625959,0.18799026237489858,0.9928571428571429,0.3161246304298385,0.01,0.76452184
CocosNucifera,0.9862255041181482,0.8182334564044306,0.3509763617677287,0.9757142857142858,0.5162509448223734,0.01,0.78172886
DurioZibethinus,0.9423459244532804,0.5781028117012212,0.18847736625514402,0.9814285714285714,0.31622554660529345,0.01,0.67840487
ElaeisGuineensis,0.9730190286850326,0.5937233740414655,0.20251046025104602,0.9972527472527473,0.3366566195223742,0.01,0.8150371
EuphorbiaPulcherrima,0.9403578528827038,0.6841806305026981,0.2272563825961884,0.8939179632248939,0.3623853211009174,0.01,0.45437247
ManihotEsculenta,0.9760011360408974,0.6047997727918205,0.20051933064050778,0.983026874115983,0.3330936975796789,0.01,0.81968427
SamaneaSaman,0.9561204203351321,0.7255041181482533,0.25851938895417154,0.9428571428571428,0.4057792806640025,0.01,0.53575647
TheobromaCacao,0.9583925021300767,0.5264129508662312,0.17443012884043607,0.9957567185289957,0.2968585283575796,0.01,0.69391584
