,precision,recall,f1-score,support
ArtocarpusHeterophyllus,0.7189796800691742,0.7972195589645255,0.756080927483519,2086.0
BroussonetiaPapyrifera,0.7100616016427105,0.8260869565217391,0.7636925795053003,2093.0
CeibaPentandra,0.7649176954732511,0.7128475551294343,0.7379652605459057,2086.0
CocosNucifera,0.8331182795698925,0.9223809523809524,0.8754802259887006,2100.0
DurioZibethinus,0.7623115577889448,0.7223809523809523,0.7418092909535452,2100.0
ElaeisGuineensis,0.8467622343054869,0.8409425625920471,0.8438423645320197,2037.0
EuphorbiaPulcherrima,0.9171741778319124,0.7171428571428572,0.8049171566007483,2100.0
ManihotEsculenta,0.6943681318681318,0.9439775910364145,0.8001582904629996,1071.0
SamaneaSaman,0.9080174021131138,0.6957142857142857,0.7878134267996765,2100.0
TheobromaCacao,0.795880149812734,0.8095238095238095,0.8026440037771483,2100.0
accuracy,0.791224274140794,0.791224274140794,0.791224274140794,0.791224274140794
macro avg,0.7951590910475352,0.7988217081387018,0.7914403526649563,19873.0
weighted avg,0.8003192818938053,0.791224274140794,0.7908951824799069,19873.0
