epoch,train_loss,val_loss,val_auc,accuracy,lr
1,0.236618,0.683413,0.967974,0.780255,0.00004527
2,0.243872,0.593870,0.967750,0.793036,0.00003290
3,0.212415,0.639610,0.967050,0.792482,0.00001760
4,0.213956,0.626664,0.968464,0.797816,0.00000523
5,0.218169,0.640070,0.968178,0.797313,0.00005000
6,0.215706,0.524245,0.971294,0.802496,0.00004879
7,0.220631,1.473235,0.960429,0.791426,0.00004527
8,0.212562,1.380573,0.959213,0.787199,0.00003980
9,0.253448,1.054890,0.961735,0.784381,0.00003290
10,0.216823,0.802507,0.966072,0.796256,0.00002525
11,0.224805,1.444810,0.958453,0.791677,0.00001760
12,0.213739,1.226474,0.960320,0.789111,0.00001070
13,0.195578,1.923906,0.952953,0.781311,0.00000523
14,0.191512,1.413021,0.957865,0.787299,0.00000171
15,0.209447,1.354561,0.956561,0.784834,0.00005000
16,0.214651,0.723851,0.963502,0.786041,0.00004970
17,0.233783,1.677547,0.956214,0.774719,0.00004879
18,0.190433,1.611342,0.955247,0.781764,0.00004730
19,0.209528,2.159969,0.948235,0.770996,0.00004527
20,0.242354,0.913813,0.961645,0.792180,0.00004275
21,0.225516,1.257188,0.957348,0.778242,0.00003980
22,0.223334,1.679465,0.954525,0.781714,0.00003649
23,0.216353,4.030789,0.945638,0.774619,0.00003290
24,0.208144,2.348920,0.956890,0.787148,0.00002912
25,0.199303,1.230259,0.959536,0.784330,0.00002525
26,0.215455,1.880649,0.954965,0.784683,0.00002138
27,0.216073,2.129437,0.952206,0.784280,0.00001760
28,0.200361,3.699323,0.949146,0.779248,0.00001401
29,0.170211,2.425451,0.952050,0.780104,0.00001070
30,0.206780,2.146362,0.954287,0.784079,0.00000775
31,0.194942,2.556854,0.950982,0.782368,0.00000523
1,0.217025,0.568522,0.969486,0.798319,0.00004527
2,0.236355,0.575820,0.967714,0.789765,0.00003290
3,0.225931,0.606034,0.969737,0.796508,0.00001760
4,0.198297,0.565002,0.970031,0.798269,0.00000523
5,0.212070,0.783451,0.965946,0.792684,0.00005000
6,0.208541,0.613747,0.966372,0.788910,0.00004879
7,0.197352,0.754815,0.966507,0.794193,0.00004527
8,0.200476,0.559289,0.969499,0.790268,0.00003980
9,0.220544,0.871052,0.959284,0.782217,0.00003290
10,0.231014,0.610566,0.967275,0.788356,0.00002525
11,0.213364,0.991157,0.959883,0.785538,0.00001760
12,0.217918,0.591436,0.968771,0.795099,0.00001070
13,0.213247,0.706424,0.964853,0.792029,0.00000523
14,0.198455,0.717321,0.966541,0.794847,0.00000171
15,0.224364,0.627486,0.968152,0.796608,0.00005000
16,0.199486,0.619975,0.963358,0.776984,0.00004970
17,0.207072,1.223521,0.952430,0.773864,0.00004879
18,0.224496,1.136846,0.959607,0.782720,0.00004730
19,0.233002,1.007307,0.960888,0.779953,0.00004527
20,0.202604,0.689261,0.968313,0.794797,0.00004275
21,0.219933,0.549010,0.970578,0.791073,0.00003980
22,0.229997,2.082699,0.952671,0.776934,0.00003649
23,0.187318,0.576328,0.970368,0.794696,0.00003290
24,0.237438,1.713640,0.954281,0.780909,0.00002912
25,0.184075,3.614285,0.942889,0.770493,0.00002525
26,0.234245,1.189903,0.958792,0.787299,0.00002138
1,0.187499,0.520558,0.971571,0.796659,0.00009055
2,0.211543,0.599554,0.966852,0.786041,0.00006580
3,0.221760,0.577864,0.968897,0.797112,0.00003520
4,0.221408,0.489406,0.970233,0.795552,0.00001045
5,0.177039,0.527887,0.970548,0.800030,0.00010000
6,0.206908,1.304676,0.958515,0.785035,0.00009758
7,0.191221,0.625706,0.966801,0.783827,0.00009055
8,0.193227,0.584502,0.969986,0.795099,0.00007960
9,0.185599,0.624480,0.965891,0.788557,0.00006580
10,0.217005,0.697356,0.963241,0.788507,0.00005050
11,0.187035,0.911101,0.963829,0.791174,0.00003520
12,0.202546,0.628405,0.967190,0.791124,0.00002140
13,0.217955,0.602137,0.968045,0.799175,0.00001045
14,0.187648,0.640105,0.969045,0.800785,0.00000342
15,0.194630,0.541649,0.969188,0.800332,0.00010000
16,0.174340,0.614685,0.967079,0.786394,0.00009939
17,0.171788,0.563591,0.964213,0.783324,0.00009758
18,0.210235,0.746550,0.961367,0.772556,0.00009460
19,0.191049,0.921879,0.962667,0.790822,0.00009055
20,0.187625,0.673578,0.966798,0.787551,0.00008550
1,0.173779,0.574861,0.967857,0.781462,0.00009055
2,0.196847,0.592249,0.968953,0.788054,0.00006580
3,0.200621,0.588175,0.968697,0.794243,0.00003520
4,0.192482,0.565944,0.968373,0.796508,0.00001045
5,0.200128,0.608992,0.968793,0.798319,0.00010000
6,0.237894,0.580622,0.968533,0.791577,0.00009758
7,0.197537,0.535841,0.968196,0.798420,0.00009055
8,0.215219,0.579362,0.966949,0.785538,0.00007960
9,0.181321,0.510518,0.967111,0.793539,0.00006580
10,0.156553,0.591179,0.966372,0.789564,0.00005050
11,0.183377,0.745983,0.965278,0.800886,0.00003520
12,0.224163,0.645992,0.966055,0.800584,0.00002140
13,0.182799,0.567128,0.968618,0.804257,0.00001045
14,0.186995,0.537778,0.968851,0.805364,0.00000342
15,0.193267,0.559832,0.968867,0.802949,0.00010000
16,0.167443,0.710343,0.964314,0.776179,0.00009939
17,0.203179,0.585506,0.969637,0.800533,0.00009758
18,0.214952,0.680420,0.967969,0.795954,0.00009460
19,0.191137,0.823044,0.965853,0.794495,0.00009055
